28 | 12
45 | 48
83 | 9
47 | 28
11 | 46
65 | 11
12 | 38
44 | 42
88 | 6
57 | 9
81 | 36
23 | 17
6 | 23
62 | 18
45 | 19
28 | 8
82 | 33
75 | 29
46 | 27
16 | 30
77 | 8
2 | 28
38 | 14
18 | 28
32 | 33
5 | 43
4 | 10
77 | 45
26 | 24
43 | 10
48 | 39
79 | 43
66 | 35
95 | 14
83 | 11
83 | 42
40 | 9
63 | 29
59 | 50
53 | 38
59 | 15
35 | 7
49 | 44
32 | 8
31 | 38
98 | 51
97 | 50
49 | 19
79 | 52
20 | 15
100 | 10
20 | 40
87 | 5
78 | 33
46 | 38
66 | 40
37 | 33
10 | 27
41 | 11
45 | 32
63 | 42
74 | 6
6 | 10
69 | 17
36 | 11
31 | 13
66 | 36
20 | 44
26 | 45
37 | 38
71 | 2
31 | 45
48 | 18
77 | 20
55 | 10
99 | 19
31 | 15
5 | 8
45 | 27
81 | 17
16 | 23
49 | 17
26 | 20
74 | 25
42 | 52
9 | 34
83 | 19
39 | 20
79 | 45
56 | 9
36 | 38
68 | 15
72 | 5
72 | 20
48 | 46
61 | 5
35 | 44
13 | 24
47 | 42
71 | 48
